CountryName,CountryCode,CountryCodeID,ProductID,ProductName,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,ColourCode
Antigua,AA,157,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,98,98,98,98.35281306,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGGGCCCCCCCCCCCCCCCCxxxxxxxxxx
Albania,AB,158,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,16.27546974,26.70866432,37.50718239,49.5264536,59.00328736,69.30331484,75.93852872,80.90964612,85.6,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Angola,AG,161,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3.424359034,9.757298902,18.59737262,28.87007664,40,47,53,46,60,70.12252474,78.48148434,84.95833316,89.19728006,92.40534274,95.10876174,96.64145774,97.54839735,98.10920178,98.46371153,99.36143632,99.42650646,99.48352683,99.53406231,99.57928907,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Azerbaijan,AJ,163,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.214446447,8.987028961,20.04924328,32.2,69.2,89.3,96.5,96.9,97.1,97.3,98.2393824,98.78343967,99.10162158,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Algeria,AL,164,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.142042836,6,23.23,46,56.3325438,66.41615002,75.5925205,82.67078571,88.15953915,91.5616607,94.41372807,96.92251173,98.01697369,98.65143495,99.02451063,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Armenia,AM,165,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63872984,34.11883294,44.8823317,55.90021475,65.38533312,73.72654388,81.1,93,95,96.3,97.68,98.8,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Laos,AO,166,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,10.15360169,17,18,19,40,60,65,74.36774815,81.64884546,87.32525119,90.85015348,93.78375768,96.08063328,97.28457703,98.00724962,98.45287153,99.49573122,99.54494708,99.58908388,99.62899366,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCGGCGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Argentina,AR,167,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.48595577,14.63453101,25.8083114,36.70523957,46.30332637,55.87979102,64.6845539,71.99798597,78.20132447,82.99369904,86.73761482,90,93.1446712,95.55389439,96.84730824,97.6399638,98.13999002,99.21954232,99.30461337,99.37728669,99.44033173,99.49573122,99.54494708,99.58908388,99.62899366,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCCCGCCCCCCCCCCCCCCCxxxxxxxxxx
Austria,AT,169,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,35.61805929,51.95728339,65.11439068,75.88027424,84,91.65989848,96,96,96,96,96,97,98,98.35281306,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCGCGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Australia,AU,170,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,45.81492791,58.66655304,69.09969175,75.70785675,89.38385889,98.8,99,99,99,99,99,99,99,99.12283395,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
