"Country","CountryCode","CountryCodeID","ProductID","ProductName","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Albania","AB",158,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,35,80.2,85.3,85.5,95,98.38,93.2455002162257,90.5043933336919,90.6817184336551,98.9264860742515,93.2559000758509,90.506556778575,90.6821684577308,98.9265792819351,93.2559194639028,90.506560811465
"Algeria","AL",164,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,3.62,30.49,52.84,53.63,76.18,76.5811063372751,77.0169556145379,75.3311502190865,78.2131534745243,78.3137665465742,77.3577515344098,75.2065844079237,78.0011952416953,78.1089315457628,77.1813443698968
"Angola","AG",161,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",7,7,7,7,8,8,8,18,30,49.9590462403464,71.9483258230642,88.680436310207,97.8279900804782,101.377350411896,103.0287958031,104.19308274378,104.668529149988,104.211764483253,104.193883143161
"Argentina","AR",167,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,65,85,85,90.76,91.18,97.68,90.8864767757753,90.1513450932669,90.9216326469858,93.0729728357431,90.839511113717,90.1099525011507,90.8850736715719,93.0403947396169,90.7524275939806,90.0313679039009
"Armenia","AM",165,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",17.54,44,46,46.5,52.48,90.05,99.1,99.3,100,108.721893259198,113.298053171257,115.000621968222,107.173479577378,112.340547343405,115.293657772679,116.09123151285,107.76554222728,112.661620915365,115.46751693408
"Australia","AU",170,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",52.21,85,95,94,98,99,99.2,99.4,99.5,101.449080130951,101.526160336619,100.367909905453,101.72017408628,105.70777925424,105.369385043215,103.838404209018,104.853524121252,105.707779266587,105.369385045391
"Austria","AT",169,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",31.57,58.41,85,98,98,98,98,98,98,96.9932540182975,97.3445954625075,98.1349932740795,96.3371639275857,94.9740145770723,95.5202633122329,96.4870215433674,94.8491300612594,94.9740329155887,95.5202683198235
"Azerbaijan","AJ",163,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",6.68,14.31,49,39,41,42,49,93,93,117.27909077521,140.521292283082,157.192146279769,142.575801419375,150.982031020831,158.43461719226,165.626509986559,146.289289150886,152.571506020301,159.105909070796
"Bahrain","BH",177,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",88.55,88.55,95.6,NA,100,100,100,100,100,101.873661816667,101.689931254181,101.062649895607,102.995203656441,102.415590880538,102.033538743051,101.255398934147,103.07479803709,102.95751756077,102.463022134274
"Bangladesh","BG",176,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",59,59,59,65,65,67,79,82,97.8,109.793775185154,123.042205224357,134.77903136132,143.587779377071,149.212944129688,153.057566737088,155.774433093517,157.328787104634,157.801903226171,158.270496928466
"Barbados","BB",172,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,NA,0,20,99.6,99.6,99.6,99.6,100.91860106222,101.074855925239,100.116801805381,99.6558246283189,100.921464568404,101.075159141451,100.116833912166,99.6558280071527,100.92146492618,101.075159179336
"Belarus","BL",179,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",6,6,6,20.4,41.5,68.5,75.7,75.7,89.5,88.3992764814649,86.5995535633674,82.998745914758,90.0798987600803,89.2663968023406,86.9472132834033,83.1376761106186,90.1352046419475,89.2884570076675,86.9560107261717
"Belgium","BE",174,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",12.23,51.7,88,99.89,100,100,100,100,100,99.8695939519436,100.054118043747,100.726556648727,100.172809888416,99.8696035665997,100.054119343085,100.72655682432,100.172809912021,99.8696035697897,100.054119343517
"Benin","BI",178,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",11.52,11.52,11.52,11.52,23.89,39.72,40,45,46,49.5108018659579,49.1316421209906,47.5541292122997,49.0620628583411,49.1182424446055,48.4684043156563,47.1138641822227,48.5169146747679,48.6669654245726,48.0845382954672
"Bhutan","BN",181,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",5,5,10.72,40,53,55,60,78,80,83.6657166027109,85.9190989074732,89.0349121464923,93.3678210454845,91.7235812464757,91.5448007608483,92.9333350221843,95.8931884208826,93.530413963638,92.7929492485357
"Bosnia-Herzegovina","BS",183,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,NA,NA,0,0,0,82,82,92.4670474939595,97.435788181251,101.629661124178,91.5854588539443,94.4377198225738,97.8079426824439,101.699021494466,91.5982946281201,94.4401050765014,97.808385893036
"Botswana","SW",360,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,40,64,64,65,68,77,69.1573172705889,67.1126542776136,66.5253857000976,72.5173060123715,69.0298454258959,66.9978291580667,66.4233232894169,72.4261978896179,68.7861702089318,66.7779267929476
"Brazil","BR",182,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,30,66.14,72.08,75.38,83.05,83.05,88.75,88.23,88.2651289481755,89.6329566502632,91.4096473656767,87.375546921436,88.3001811084268,89.6472762641305,91.4154964988485,87.3779301369147,88.301154507874,89.6476738354522
"Bulgaria","BU",184,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",NA,NA,34.5,56.73,86.75,99.34,99.71,99.94,99.85,100.789312321512,100.387599096585,99.7416809729975,101.001158828764,100.81347221582,100.394091150113,99.7434252379166,101.001625771647,100.813597667007,100.394124854364
"Cambodia","CB",188,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",9,9,9,30,50,57.5,80.3,80.3,91.5,102.347475920381,109.424581477255,116.174157217151,128.713882491276,135.191512187746,139.366993666007,142.850516579237,151.864505794287,153.384469641872,154.37404718396
"Cameroon","OO",329,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0.04,0.04,0.04,0.05,0.76,7.05,7.05,7.05,10.76,13.2958782997146,16.1258442362382,19.4601141123499,25.0628601450624,29.9708691835831,35.4749813705983,41.5067703359673,49.4548246165272,56.122085857203,62.5793806142608
"Canada","CA",187,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",67,81,93,97.4,98.5,99,99.3,99.5,99.5,98.6196313773022,98.3694043177181,98.3947908280838,95.4759393527815,95.2645815689331,95.3150501508912,95.6256297078627,95.4816862670578,95.2672639591201,95.3163021423863
"Chile","CL",193,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",34.52,34.52,50,76,79,88,88,88,88,88.16258377401,85.7507733929713,84.6934873836457,80.6295144216671,77.0032462441057,74.8779236272438,74.2758469998569,70.7874051814206,67.8119122409997,66.3821700577464
"China","CN",195,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,43.59,85,97,98,99.4,99.9,99.9,96.8555066099873,96.8979028121816,99.3151957664865,98.4366658971088,96.4016842575941,96.5649702669342,99.0999289760472,98.2894501653939,96.2944095245021,96.5649702967274
"Colombia","CO",202,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,56,81,92,96,98,98,98,97.118914016331,97.2424788655805,98.6650887671515,98.3030956927729,97.1224387455434,97.2433118257956,98.6652856073379,98.3031420251733,97.1224496944701,97.2433144131639
"Costa Rica","RI",340,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,21,68.9,71,82.2,86.54,93.8,93,87.1475520933498,90.1759600189462,95.0858211856641,85.6714652853206,86.8274109576184,89.8750759016863,94.8109978586742,85.6718249964442,86.827507635142,89.8751018851086
"Croatia","CR",204,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",13.9,23,45,98,96.85,98.31,98.5,99.44,99.53,99.5833685826475,101.029778756871,103.486642801208,99.1519391335841,99.5845892711898,101.030021151706,103.486690933705,99.1519486490352,99.5845911606773,101.030021526904
"Cyprus","CY",208,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,60,73,96,97.53,99.6,99.93,97.4661485715566,99.1838043364956,101.718881346343,97.0186485140747,97.6187904561437,99.1862876441857,101.719425879944,97.0187674208832,97.6188165292546,99.186293361325
"Czech Republic","CS",205,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",NA,NA,92.1,98.7,99.7,99.8,99.8,99.8,99.8,102.772393412937,103.765134676651,105.543966041018,102.582339522822,102.783985142467,103.7737021511,105.550298189016,102.587015634367,102.787441152106,103.776256395621
"Denmark","DK",214,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",83.08,99.5,99.5,99.99,100,100,100,100,100,99.995401918918,99.9995124863322,100.0340293958,100.007032596528,99.9954027231799,99.9995126044276,100.034029413172,100.007032599077,99.9954027235725,99.999512604541
"Dominican Republic","DR",216,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",3.1,4,10,86.4,86.4,90.43,93.72,95.35,96.64,92.9495089346828,95.1497704919891,98.4765387265803,91.676984681286,92.7688938161239,94.6673282049021,98.0412741090935,91.2839650478238,92.41400895589,94.6673282157508
"Ecuador","EC",230,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,28.19,49.63,50.96,58.75,70.87,83.07,90.98,91.9028845172641,97.7080534783987,105.154919517764,101.62045737269,102.507712919003,105.566735543985,110.911664080867,105.805086832919,105.543630965848,108.326171413593
"Egypt","EG",232,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,0,61,89,95.1,96,93.6082592249723,94.6273592645871,95.5881316126909,92.5345069754875,93.6092351049073,94.6274224284568,95.5881357009404,92.5345072381136,93.6092351219078,94.6274224295597
"Eritrea","EE",231,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,0,0,0,0,0,-0.0115784401453709,-0.00646324755086169,0.0149596117446809,0.028865899117827,0.026951052824165,0.0386390910108272,0.0639463876530808,0.0802556482531873,0.0800398012289953,0.092994002071622
"Estonia","ET",237,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",70,97,100,100,99,99,99,99,99,98.8927896612808,99.2554444774008,99.989930829755,99.1118719452374,99.1007975997969,99.4634470198011,100.197927526786,99.3198623298265,99.3087812394024,99.6714234653151
"Ethiopia","EP",234,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,10,NA,10,7,7,7,7,5.75119625286045,5.06043644568015,4.62997293383319,4.69249367833227,3.97094323148233,3.4602967666076,3.20376242707418,3.42933409277279,2.81700324606,2.44587502655251
"Fiji","FJ",241,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",15,15,15,17,75,75,75,76,80,80.4786028378305,74.6861399421237,68.7163122756297,84.6483122783689,79.4253302928504,73.9177192005265,68.1294374262789,84.4607015030992,79.2703508551186,73.7875394797838
"Finland","FI",240,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",65.11,79.14,95,99.9,99.9,99.9,99.9,99.9,99.9,99.2993893050104,99.4547993182867,98.8640461929814,96.7523040767183,97.6551627750346,97.8132769186221,97.225446317458,95.1168524377386,96.0230661865282,96.1847486981792
"France","FR",243,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",20,63,74,80,90,98,99,99,99,102.792563280441,103.128915092948,100.974385688021,104.579682878892,115.205274439929,114.330626898701,111.089706101619,113.712339679199,115.205274621889,114.33062693845
"Georgia","GG",248,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",8.86,8.86,20,82,91.99,99.72,99.72,99.72,99.72,97.7794504435858,99.0531757267396,100.788337087036,96.520825882665,96.5753803188115,97.9665682724218,99.8071122730993,95.6349229353352,96.5753803188821,97.9665682724295
"Germany","DE",212,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",53,67,92.1,95.7,96.2,96.2,98.2,98.6,99.8,95.510898670977,95.6523482574422,96.8902126917596,96.0552019443958,94.2124188651366,94.4576623467115,95.8024739118359,95.0696561525758,94.2134389295347,94.4580592821332
"Ghana","GH",249,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,10,23,34.86,34.86,34.86,67.65,67.65,77.5222810122588,85.1503211194998,91.8625928857572,95.9949331980417,97.975100767371,99.9434179162195,102.178721269085,102.985165086971,102.634979466422,103.011235384297
