"Country","CountryCode","CountryCodeID","ProductID","ProductName","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Albania","AB",158,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,35,80.2,85.3,85.5,95,98.38,96.3403307496945,97.8824505278274,98.8794547875846,99.4869905503123,99.8155613431643,99.9558067107113,99.9945824469994,99.9997727869911,99.9999982106059,99.9999999989331
"Algeria","AL",164,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,3.62,30.49,52.84,53.63,76.18,88.2016451834699,95.0736211944223,98.2729287178988,99.6171987230132,99.9762315129098,99.9999695032533,99.9999999999982,100,100,100
"Angola","AG",161,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",7,7,7,7,8,8,8,18,30,29.2059015747567,34.7816066952223,41.1324342544626,47.9777184876397,55.0104805061309,61.570076606048,68.1365696741745,74.0658180050525,79.2414390495314,83.6273238193973
"Argentina","AR",167,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,65,85,85,90.76,91.18,97.68,91.997090813446,90.6048124591612,88.987619858799,87.1276763104821,85.0076263061702,82.6122241878525,79.9300877074637,76.955556938468,76.2113036146794,72.5971669586963
"Armenia","AM",165,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",17.54,44,46,46.5,52.48,90.05,99.1,99.3,100,98.9380258784346,99.7032306605264,99.9611194109267,99.9990248561824,99.9999991660171,99.9999999999991,100,100,100,100
"Australia","AU",170,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",52.21,85,95,94,98,99,99.2,99.4,99.5,96.6594200845002,97.7979422023404,98.6550300476516,99.2510254654081,89.2829477656543,95.1716676595638,97.9839823292246,99.2528593167215,99.7903683833062,99.9721381559856
"Austria","AT",169,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",31.57,58.41,85,98,98,98,98,98,98,93.923808041688,93.4304668852366,92.8669637278992,92.2309779173992,94.0877068530211,93.2510409472713,92.3226365487992,91.2950388917913,90.160705040295,88.9121554377232
"Azerbaijan","AJ",163,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",6.68,14.31,49,39,41,42,49,93,93,88.5745046258616,92.7241719539734,95.6417095172119,97.6063138674874,98.8499007576233,99.5546148072543,99.8788814910674,99.9814590855804,99.9988573357926,99.999982694548
"Bahrain","BH",177,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",88.55,88.55,95.6,95.6,100,100,100,100,100,96.2059031323004,96.7625369925013,97.2432712471112,97.6571794581455,97.9059166543481,98.235380428914,98.5152193324959,98.752674764539,98.9539945028597,99.1245499318631
"Bangladesh","BG",176,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",59,59,59,65,65,67,79,82,97.8,90.6556101985425,93.4354254668426,95.4817854285072,96.9492130383866,97.9578537420785,98.6860834819247,99.1845766911274,99.5207965418171,99.7413340301799,99.8779929541554
"Barbados","BB",172,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,20,99.6,99.6,99.6,99.6,99.9932212365531,99.9999998195443,100,100,100,100,100,100,100,100
"Belarus","BL",179,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",6,6,6,20.4,41.5,68.5,75.7,75.7,89.5,93.3933814306262,96.573234774097,98.3652524350911,99.3285155770756,99.7961903143236,99.9673049620664,99.9986011012911,99.9999954800351,99.9999999998854,100
"Belgium","BE",174,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",12.23,51.7,88,99.89,100,100,100,100,100,99.1787496246477,99.6447911062196,99.8787785251639,99.9703608339546,99.9954361092727,99.9996266159584,99.9999870416778,99.9999998588304,99.9999999996779,99.9999999999999
"Benin","BI",178,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",11.52,11.52,11.52,11.52,23.89,39.72,40,45,46,57.0896007467133,63.2979509149169,69.122358650626,74.4303026095859,79.1359406230009,83.1894660136026,86.6048490693418,89.4189646665287,91.7236409293772,93.5776576329501
"Bhutan","BN",181,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",5,5,10.72,40,53,55,60,78,80,80.4276942424204,83.8361680003462,86.6783492958352,89.2888537429319,91.2119382130384,92.8259813573969,94.1718073865102,95.2878295772715,96.256417033098,97.0014725263479
"Bosnia-Herzegovina","BS",183,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,0,0,0,0,82,82,80.5104457711527,90.9753172290415,96.8975707602356,99.4065812765965,99.9677804193973,99.9998739766218,99.9999999974019,100,100,100
"Botswana","SW",360,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,40,64,64,65,68,77,78.7648847670009,81.915087989778,84.6978813687086,87.134256782075,89.2502911454021,91.0750307547344,92.6386386223195,93.9709272158368,95.2332133744308,96.153923332271
"Brazil","BR",182,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,30,66.14,72.08,75.38,83.05,83.05,88.75,88.23,82.8946844480174,79.7235859828421,76.1433873423458,72.1600900314479,67.7998832690614,63.1113425037267,58.1652965577199,53.0518131781805,47.8743096712964,42.7414821416246
"Bulgaria","BU",184,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,34.5,56.73,86.75,99.34,99.71,99.94,99.85,99.768193526049,99.9796872003411,99.9998036364937,99.9999999804632,100,100,100,100,100,100
"Cambodia","CB",188,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",9,9,9,30,50,57.5,80.3,80.3,91.5,88.0001231696836,90.5289891175489,92.4427440325691,93.940179927068,95.3932779179667,96.283804257952,97.0176903251976,97.6204479302246,98.1140175589548,98.5170273901365
"Cameroon","OO",329,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0.04,0.04,0.04,0.05,0.76,7.05,7.05,7.05,10.76,13.9161193110908,14.0755279178326,13.8436158364927,13.4326969295488,12.9312621954991,12.3872976324348,12.0165713539588,11.4292313380649,10.864519906555,10.3224826218582
"Canada","CA",187,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",67,81,93,97.4,98.5,99,99.3,99.5,99.5,97.8377133026546,98.6130536633683,99.1500916283713,97.3079258161827,98.5946807822976,99.3036202702192,99.6864962386663,99.8837181224789,99.9712866256137,99.9969920495572
"Chile","CL",193,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",34.52,34.52,50,76,79,88,88,88,88,85.4222340978581,84.5132375231964,83.4900023422987,82.3611561081286,81.1321361590249,79.806165603893,78.3854074440687,76.8716391390856,75.2666806801184,73.5726848119812
